session_id,user_id,housing_type,charger_level,start_time,duration_hours,energy_kwh,peak_overlap_ratio,season,battery_soc_start
EV-10217,USR-1379,Townhouse,Level 2 (7.2kW),2025-12-25 17:00:00,6.08,16.78,0.64,Fall,61.7
EV-10218,USR-1087,Townhouse,Level 2 (7.2kW),2025-04-28 00:45:00,3.04,21.03,0.0,Fall,52.0
EV-10219,USR-1179,Single-Family,Level 2 (7.2kW),2025-05-26 20:39:00,5.39,28.78,0.09,Fall,34.3
EV-10220,USR-1347,Townhouse,Level 2 (7.2kW),2025-02-18 00:29:00,3.67,23.0,0.0,Summer,47.5
EV-10221,USR-1230,Single-Family,Level 2 (7.2kW),2025-09-20 11:11:00,2.75,18.31,0.0,Winter,58.2
EV-10222,USR-1239,Townhouse,Level 2 (7.2kW),2025-05-13 10:03:00,8.32,31.45,0.29,Winter,28.2
EV-10223,USR-1305,Townhouse,Level 2 (7.2kW),2025-05-14 08:03:00,11.29,25.98,0.3,Spring,40.7
EV-10224,USR-1227,Condo/Apartment,Level 2 (7.2kW),2025-11-23 10:28:00,9.74,19.98,0.41,Spring,54.4
EV-10225,USR-1087,Condo/Apartment,Level 2 (7.2kW),2025-09-08 13:05:00,6.85,32.29,0.57,Spring,26.3
EV-10226,USR-1233,Single-Family,Level 2 (7.2kW),2025-03-30 18:31:00,3.67,25.58,0.67,Fall,41.6
EV-10227,USR-1390,Townhouse,Level 2 (7.2kW),2025-05-26 19:06:00,6.66,28.47,0.3,Fall,35.0
EV-10228,USR-1024,Townhouse,Level 2 (7.2kW),2025-01-07 09:13:00,7.64,36.93,0.1,Winter,15.7
EV-10229,USR-1235,Single-Family,Level 2 (7.2kW),2025-08-12 17:01:00,3.37,18.09,1.0,Spring,58.7
EV-10230,USR-1393,Single-Family,Level 2 (7.2kW),2025-12-22 16:45:00,8.17,32.51,0.52,Winter,25.8
EV-10231,USR-1127,Single-Family,Level 1 (1.4kW),2025-11-15 18:05:00,14.29,16.91,0.25,Summer,61.4
EV-10232,USR-1031,Single-Family,Level 2 (7.2kW),2025-03-31 13:09:00,4.02,28.34,0.29,Spring,35.3
EV-10233,USR-1078,Single-Family,Level 2 (7.2kW),2025-12-13 17:33:00,6.45,34.52,0.54,Winter,21.2
EV-10234,USR-1398,Single-Family,Level 2 (7.2kW),2025-02-23 01:32:00,4.63,20.24,0.0,Summer,53.8
EV-10235,USR-1099,Condo/Apartment,Level 2 (7.2kW),2025-04-17 00:43:00,9.73,35.0,0.0,Spring,20.1
EV-10236,USR-1010,Single-Family,Level 2 (7.2kW),2025-09-02 12:00:00,10.84,22.04,0.45,Spring,49.7
EV-10237,USR-1087,Single-Family,Level 2 (7.2kW),2025-01-11 12:54:00,4.53,11.21,0.32,Spring,74.4
EV-10238,USR-1394,Single-Family,Level 2 (7.2kW),2025-08-01 01:10:00,3.99,12.53,0.0,Fall,71.4
EV-10239,USR-1030,Single-Family,Level 2 (7.2kW),2025-07-26 18:25:00,3.25,12.57,0.85,Fall,71.3
EV-10240,USR-1351,Townhouse,Level 2 (7.2kW),2025-12-25 17:27:00,15.61,29.13,0.31,Summer,33.5
EV-10241,USR-1128,Condo/Apartment,Level 1 (1.4kW),2025-10-15 10:03:00,23.26,22.17,0.42,Summer,49.4
EV-10242,USR-1209,Single-Family,Level 2 (7.2kW),2025-03-29 16:27:00,4.98,29.26,0.95,Spring,33.2
EV-10243,USR-1377,Single-Family,Level 2 (7.2kW),2025-11-01 20:55:00,5.63,38.16,0.04,Spring,12.9
EV-10244,USR-1383,Condo/Apartment,Level 2 (7.2kW),2025-05-03 17:49:00,2.8,19.06,1.0,Winter,56.5
EV-10245,USR-1110,Single-Family,Level 1 (1.4kW),2025-08-12 17:03:00,30.95,37.72,0.33,Fall,13.9
EV-10246,USR-1104,Single-Family,Level 2 (7.2kW),2025-10-26 16:32:00,8.63,38.59,0.51,Spring,11.9
EV-10247,USR-1199,Condo/Apartment,Level 2 (7.2kW),2025-09-16 08:27:00,5.69,31.76,0.0,Fall,27.5
EV-10248,USR-1049,Single-Family,Level 2 (7.2kW),2025-03-22 10:12:00,4.22,15.99,0.0,Fall,63.5
EV-10249,USR-1364,Single-Family,Level 1 (1.4kW),2025-12-07 23:44:00,11.71,11.61,0.0,Spring,73.5
EV-10250,USR-1357,Townhouse,Level 2 (7.2kW),2025-06-01 22:54:00,6.01,37.81,0.0,Summer,13.7
EV-10251,USR-1124,Condo/Apartment,Level 2 (7.2kW),2025-09-12 22:45:00,2.26,14.37,0.0,Spring,67.2
EV-10252,USR-1109,Condo/Apartment,Level 2 (7.2kW),2025-05-15 16:56:00,4.31,24.75,0.94,Winter,43.5
EV-10253,USR-1263,Condo/Apartment,Level 2 (7.2kW),2025-04-24 11:50:00,6.76,34.56,0.37,Fall,21.1
EV-10254,USR-1320,Condo/Apartment,Level 2 (7.2kW),2025-04-15 18:41:00,4.34,30.27,0.56,Spring,30.9
EV-10255,USR-1280,Single-Family,Level 2 (7.2kW),2025-11-06 15:39:00,5.04,12.35,0.9,Summer,71.8
EV-10256,USR-1146,Single-Family,Level 1 (1.4kW),2025-03-30 16:44:00,15.85,21.07,0.38,Summer,51.9
EV-10257,USR-1063,Single-Family,Level 2 (7.2kW),2025-05-10 16:15:00,11.99,29.7,0.4,Summer,32.2
EV-10258,USR-1294,Single-Family,Level 2 (7.2kW),2025-05-06 08:53:00,7.87,26.33,0.09,Fall,39.9
EV-10259,USR-1206,Single-Family,Level 2 (7.2kW),2025-04-28 21:43:00,9.87,32.07,0.0,Winter,26.8
EV-10260,USR-1169,Townhouse,Level 2 (7.2kW),2025-05-30 21:26:00,4.79,20.68,0.0,Winter,52.8
EV-10261,USR-1330,Single-Family,Level 1 (1.4kW),2025-05-31 23:41:00,9.64,13.45,0.0,Fall,69.3
EV-10262,USR-1045,Condo/Apartment,Level 1 (1.4kW),2025-10-21 19:45:00,14.6,18.27,0.1,Winter,58.3
EV-10263,USR-1049,Townhouse,Level 2 (7.2kW),2025-06-04 23:54:00,6.04,36.14,0.0,Winter,17.5
EV-10264,USR-1379,Condo/Apartment,Level 2 (7.2kW),2025-09-11 00:29:00,5.04,25.28,0.0,Summer,42.3
EV-10265,USR-1298,Single-Family,Level 2 (7.2kW),2025-01-09 18:57:00,5.02,30.67,0.43,Fall,30.0
EV-10266,USR-1066,Condo/Apartment,Level 2 (7.2kW),2025-06-17 21:17:00,2.54,16.47,0.0,Summer,62.4
EV-10267,USR-1224,Townhouse,Level 2 (7.2kW),2025-03-15 19:17:00,7.89,32.77,0.22,Summer,25.2
EV-10268,USR-1055,Single-Family,Level 2 (7.2kW),2025-10-13 17:58:00,4.69,32.24,0.68,Spring,26.4
EV-10269,USR-1047,Single-Family,Level 2 (7.2kW),2025-06-01 17:20:00,10.45,36.45,0.36,Fall,16.8
EV-10270,USR-1041,Single-Family,Level 2 (7.2kW),2025-11-25 00:50:00,6.26,24.31,0.0,Winter,44.5
EV-10271,USR-1149,Single-Family,Level 2 (7.2kW),2025-05-26 19:48:00,7.24,25.15,0.17,Fall,42.6
EV-10272,USR-1217,Single-Family,Level 2 (7.2kW),2025-04-16 10:15:00,20.9,28.91,0.42,Fall,34.0
EV-10273,USR-1037,Condo/Apartment,Level 2 (7.2kW),2025-01-08 19:19:00,4.13,28.61,0.41,Winter,34.7
EV-10274,USR-1322,Condo/Apartment,Level 2 (7.2kW),2025-03-24 21:08:00,14.09,37.41,0.0,Winter,14.6
EV-10275,USR-1028,Condo/Apartment,Level 2 (7.2kW),2025-04-26 16:36:00,2.56,12.05,1.0,Summer,72.5
EV-10276,USR-1276,Townhouse,Level 2 (7.2kW),2025-05-22 17:46:00,2.0,12.0,1.0,Winter,72.6
EV-10277,USR-1128,Single-Family,Level 2 (7.2kW),2025-06-14 19:55:00,2.62,16.82,0.45,Summer,61.6
EV-10278,USR-1392,Single-Family,Level 2 (7.2kW),2025-07-01 20:15:00,8.96,38.2,0.08,Fall,12.8
EV-10279,USR-1261,Single-Family,Level 2 (7.2kW),2025-01-18 17:07:00,50.1,24.36,0.33,Summer,44.4
EV-10280,USR-1040,Single-Family,Level 2 (7.2kW),2025-01-26 18:18:00,2.73,16.6,1.0,Winter,62.1
EV-10281,USR-1078,Single-Family,Level 1 (1.4kW),2025-02-20 11:14:00,35.52,34.43,0.42,Spring,21.4
EV-10282,USR-1036,Townhouse,Level 1 (1.4kW),2025-03-06 20:06:00,23.46,25.8,0.08,Summer,41.1
EV-10283,USR-1041,Condo/Apartment,Level 1 (1.4kW),2025-05-03 18:44:00,13.24,16.82,0.21,Fall,61.6
EV-10284,USR-1161,Townhouse,Level 2 (7.2kW),2025-09-29 19:21:00,2.61,11.74,0.64,Fall,73.2
EV-10285,USR-1080,Single-Family,Level 2 (7.2kW),2025-07-07 17:27:00,9.39,26.37,0.39,Winter,39.8
EV-10286,USR-1331,Single-Family,Level 2 (7.2kW),2025-02-02 15:57:00,5.22,36.62,0.95,Fall,16.4
EV-10287,USR-1014,Townhouse,Level 2 (7.2kW),2025-02-21 22:20:00,5.25,31.45,0.0,Winter,28.2
EV-10288,USR-1080,Single-Family,Level 2 (7.2kW),2025-01-26 22:14:00,9.55,26.72,0.0,Spring,39.0
EV-10289,USR-1218,Condo/Apartment,Level 2 (7.2kW),2025-06-28 14:37:00,4.1,17.79,0.65,Summer,59.4
EV-10290,USR-1170,Single-Family,Level 2 (7.2kW),2025-03-29 17:59:00,6.53,22.04,0.48,Fall,49.7
EV-10291,USR-1359,Condo/Apartment,Level 2 (7.2kW),2025-01-01 17:12:00,7.28,31.5,0.53,Summer,28.1
EV-10292,USR-1109,Single-Family,Level 2 (7.2kW),2025-06-09 19:34:00,6.08,34.52,0.24,Spring,21.2
EV-10293,USR-1201,Single-Family,Level 2 (7.2kW),2025-09-08 21:39:00,8.47,33.91,0.0,Summer,22.6
EV-10294,USR-1021,Condo/Apartment,Level 2 (7.2kW),2025-01-08 17:15:00,7.84,17.96,0.47,Fall,59.0
EV-10295,USR-1158,Single-Family,Level 2 (7.2kW),2025-10-14 18:26:00,7.09,25.06,0.38,Winter,42.8
EV-10296,USR-1143,Townhouse,Level 1 (1.4kW),2025-01-24 21:39:00,20.39,19.41,0.0,Winter,55.7
EV-10297,USR-1143,Townhouse,Level 2 (7.2kW),2025-08-13 18:23:00,5.48,33.73,0.5,Winter,23.0
EV-10298,USR-1067,Townhouse,Level 2 (7.2kW),2025-11-30 04:08:00,7.75,27.64,0.0,Winter,36.9
EV-10299,USR-1036,Single-Family,Level 1 (1.4kW),2025-05-10 20:45:00,28.2,30.93,0.02,Winter,29.4
EV-10300,USR-1005,Condo/Apartment,Level 2 (7.2kW),2025-10-12 16:22:00,5.29,26.2,0.86,Winter,40.2
EV-10301,USR-1324,Single-Family,Level 2 (7.2kW),2025-11-16 19:42:00,3.08,18.97,0.46,Spring,56.7
EV-10302,USR-1042,Townhouse,Level 1 (1.4kW),2025-07-05 11:59:00,37.69,37.19,0.42,Summer,15.1
EV-10303,USR-1240,Single-Family,Level 2 (7.2kW),2025-12-16 22:00:00,5.1,31.45,0.0,Winter,28.2
EV-10304,USR-1309,Townhouse,Level 2 (7.2kW),2025-04-06 22:24:00,7.22,25.85,0.0,Fall,41.0
EV-10305,USR-1384,Single-Family,Level 2 (7.2kW),2025-10-02 16:17:00,2.87,15.42,1.0,Fall,64.8
EV-10306,USR-1195,Single-Family,Level 2 (7.2kW),2025-01-09 13:12:00,5.5,29.66,0.45,Winter,32.3
EV-10307,USR-1288,Single-Family,Level 1 (1.4kW),2025-10-29 00:05:00,15.18,14.19,0.0,Fall,67.6
EV-10308,USR-1131,Condo/Apartment,Level 2 (7.2kW),2025-12-08 17:36:00,7.58,32.9,0.45,Fall,24.9
EV-10309,USR-1145,Single-Family,Level 2 (7.2kW),2025-09-22 12:24:00,6.03,35.88,0.4,Winter,18.1
EV-10310,USR-1013,Townhouse,Level 2 (7.2kW),2025-07-25 12:55:00,5.84,32.86,0.46,Fall,25.0
EV-10311,USR-1221,Townhouse,Level 1 (1.4kW),2025-05-03 15:25:00,13.27,17.65,0.42,Fall,59.7
EV-10312,USR-1247,Single-Family,Level 1 (1.4kW),2025-08-13 12:39:00,12.87,16.25,0.42,Fall,62.9
EV-10313,USR-1099,Single-Family,Level 2 (7.2kW),2025-11-23 23:51:00,6.91,28.87,0.0,Summer,34.1
EV-10314,USR-1221,Single-Family,Level 2 (7.2kW),2025-05-29 22:46:00,3.14,16.08,0.0,Fall,63.3
EV-10315,USR-1386,Condo/Apartment,Level 2 (7.2kW),2025-08-04 16:18:00,2.65,17.65,1.0,Fall,59.7
EV-10316,USR-1215,Townhouse,Level 2 (7.2kW),2025-05-15 15:09:00,13.91,37.54,0.42,Summer,14.3
EV-10317,USR-1161,Single-Family,Level 2 (7.2kW),2025-03-30 17:12:00,12.63,25.63,0.33,Fall,41.5
EV-10318,USR-1098,Condo/Apartment,Level 2 (7.2kW),2025-06-17 11:11:00,6.41,38.77,0.23,Winter,11.5
EV-10319,USR-1108,Single-Family,Level 2 (7.2kW),2025-04-16 18:30:00,9.45,16.43,0.26,Spring,62.5
EV-10320,USR-1275,Townhouse,Level 2 (7.2kW),2025-10-18 16:19:00,5.66,14.02,0.83,Fall,68.0
EV-10321,USR-1318,Townhouse,Level 2 (7.2kW),2025-08-04 23:32:00,3.87,27.38,0.0,Fall,37.5
EV-10322,USR-1222,Condo/Apartment,Level 2 (7.2kW),2025-04-25 20:58:00,7.9,38.42,0.03,Fall,12.3
EV-10323,USR-1377,Townhouse,Level 2 (7.2kW),2025-02-15 19:07:00,4.28,29.61,0.44,Winter,32.4
EV-10324,USR-1139,Condo/Apartment,Level 2 (7.2kW),2025-08-10 19:08:00,5.53,32.59,0.35,Summer,25.6
EV-10325,USR-1102,Single-Family,Level 2 (7.2kW),2025-09-03 15:07:00,2.05,12.13,0.56,Fall,72.3
EV-10326,USR-1092,Condo/Apartment,Level 1 (1.4kW),2025-11-04 18:13:00,32.06,31.45,0.25,Fall,28.2
EV-10327,USR-1361,Single-Family,Level 2 (7.2kW),2025-07-29 17:03:00,4.78,28.34,0.8,Winter,35.3
EV-10328,USR-1111,Townhouse,Level 2 (7.2kW),2025-06-04 19:46:00,5.58,37.5,0.22,Winter,14.4
EV-10329,USR-1327,Townhouse,Level 1 (1.4kW),2025-12-26 17:08:00,24.33,33.12,0.33,Spring,24.4
EV-10330,USR-1148,Single-Family,Level 2 (7.2kW),2025-05-27 15:08:00,11.54,18.62,0.43,Summer,57.5
EV-10331,USR-1177,Townhouse,Level 2 (7.2kW),2025-05-21 11:05:00,3.43,18.27,0.0,Winter,58.3
EV-10332,USR-1293,Townhouse,Level 2 (7.2kW),2025-12-21 11:59:00,9.58,25.32,0.51,Winter,42.2
EV-10333,USR-1392,Single-Family,Level 2 (7.2kW),2025-11-17 17:00:00,4.15,25.45,0.94,Fall,41.9
EV-10334,USR-1223,Townhouse,Level 2 (7.2kW),2025-07-25 17:22:00,45.81,12.35,0.31,Summer,71.8
EV-10335,USR-1018,Single-Family,Level 1 (1.4kW),2025-02-18 19:06:00,22.0,29.39,0.17,Winter,32.9
EV-10336,USR-1007,Townhouse,Level 2 (7.2kW),2025-03-27 16:37:00,6.2,33.51,0.72,Winter,23.5
EV-10337,USR-1183,Townhouse,Level 2 (7.2kW),2025-05-17 18:54:00,4.67,31.15,0.47,Fall,28.9
EV-10338,USR-1377,Condo/Apartment,Level 1 (1.4kW),2025-08-20 16:43:00,21.41,28.83,0.38,Fall,34.2
EV-10339,USR-1387,Single-Family,Level 2 (7.2kW),2025-09-23 01:27:00,7.2,16.16,0.0,Spring,63.1
EV-10340,USR-1214,Single-Family,Level 2 (7.2kW),2025-07-21 17:29:00,5.07,35.66,0.71,Fall,18.6
EV-10341,USR-1188,Townhouse,Level 1 (1.4kW),2025-12-24 16:53:00,13.1,18.09,0.35,Winter,58.7
EV-10342,USR-1026,Townhouse,Level 2 (7.2kW),2025-10-14 18:51:00,4.22,25.01,0.53,Spring,42.9
EV-10343,USR-1203,Townhouse,Level 2 (7.2kW),2025-06-25 06:32:00,9.17,18.14,0.0,Spring,58.6
EV-10344,USR-1259,Condo/Apartment,Level 2 (7.2kW),2025-11-27 17:54:00,7.93,23.61,0.41,Summer,46.1
EV-10345,USR-1163,Townhouse,Level 2 (7.2kW),2025-10-04 16:51:00,4.02,22.96,1.0,Spring,47.6
EV-10346,USR-1213,Single-Family,Level 2 (7.2kW),2025-04-05 14:44:00,7.84,24.8,0.62,Spring,43.4
EV-10347,USR-1073,Condo/Apartment,Level 2 (7.2kW),2025-12-06 23:20:00,3.64,20.9,0.0,Fall,52.3
EV-10348,USR-1244,Single-Family,Level 2 (7.2kW),2025-11-13 18:22:00,2.8,18.0,0.92,Spring,58.9
EV-10349,USR-1036,Townhouse,Level 2 (7.2kW),2025-03-10 00:21:00,2.63,14.63,0.0,Fall,66.6
EV-10350,USR-1307,Townhouse,Level 2 (7.2kW),2025-12-11 15:50:00,4.01,24.66,0.94,Fall,43.7
EV-10351,USR-1290,Single-Family,Level 1 (1.4kW),2025-06-25 19:54:00,30.15,38.38,0.1,Fall,12.4
EV-10352,USR-1029,Single-Family,Level 2 (7.2kW),2025-09-21 21:12:00,3.69,25.54,0.0,Fall,41.7
EV-10353,USR-1226,Townhouse,Level 1 (1.4kW),2025-12-07 16:56:00,21.56,29.04,0.35,Summer,33.7
EV-10354,USR-1082,Single-Family,Level 2 (7.2kW),2025-11-18 16:16:00,3.69,23.09,1.0,Fall,47.3
EV-10355,USR-1242,Single-Family,Level 1 (1.4kW),2025-11-24 15:37:00,19.35,23.13,0.42,Spring,47.2
EV-10356,USR-1180,Single-Family,Level 2 (7.2kW),2025-07-26 19:48:00,5.28,25.76,0.23,Spring,41.2
EV-10357,USR-1311,Townhouse,Level 1 (1.4kW),2025-01-11 17:49:00,29.63,36.27,0.27,Winter,17.2
EV-10358,USR-1085,Single-Family,Level 2 (7.2kW),2025-08-17 17:57:00,3.25,11.74,1.0,Fall,73.2
EV-10359,USR-1059,Condo/Apartment,Level 2 (7.2kW),2025-07-17 00:02:00,14.27,32.29,0.0,Fall,26.3
EV-10360,USR-1201,Single-Family,Level 2 (7.2kW),2025-08-02 19:25:00,11.39,36.1,0.15,Spring,17.6
EV-10361,USR-1015,Condo/Apartment,Level 2 (7.2kW),2025-01-27 18:48:00,2.29,15.86,0.9,Fall,63.8
EV-10362,USR-1123,Townhouse,Level 2 (7.2kW),2025-10-15 22:10:00,2.96,20.9,0.0,Fall,52.3
EV-10363,USR-1147,Single-Family,Level 1 (1.4kW),2025-01-13 13:21:00,27.31,34.43,0.42,Winter,21.4
EV-10364,USR-1037,Condo/Apartment,Level 2 (7.2kW),2025-06-08 17:46:00,3.36,20.63,0.93,Fall,52.9
EV-10365,USR-1206,Townhouse,Level 2 (7.2kW),2025-12-06 17:58:00,4.32,19.58,0.72,Winter,55.3
EV-10366,USR-1252,Single-Family,Level 1 (1.4kW),2025-07-29 10:21:00,28.92,38.73,0.42,Fall,11.6
EV-10367,USR-1240,Single-Family,Level 1 (1.4kW),2025-12-15 17:19:00,23.79,31.76,0.31,Spring,27.5
EV-10368,USR-1251,Condo/Apartment,Level 2 (7.2kW),2025-09-13 15:00:00,4.62,30.67,0.79,Fall,30.0
EV-10369,USR-1018,Single-Family,Level 2 (7.2kW),2025-04-06 08:42:00,5.36,30.75,0.0,Winter,29.8
EV-10370,USR-1099,Single-Family,Level 1 (1.4kW),2025-07-06 18:11:00,26.92,31.37,0.25,Summer,28.4
EV-10371,USR-1124,Single-Family,Level 2 (7.2kW),2025-03-14 23:41:00,13.12,17.79,0.0,Fall,59.4
EV-10372,USR-1066,Townhouse,Level 2 (7.2kW),2025-04-25 12:40:00,9.8,29.13,0.5,Summer,33.5
EV-10373,USR-1069,Single-Family,Level 2 (7.2kW),2025-03-15 15:00:00,5.22,24.09,0.81,Spring,45.0
EV-10374,USR-1325,Townhouse,Level 2 (7.2kW),2025-03-19 12:11:00,8.05,32.37,0.52,Fall,26.1
EV-10375,USR-1106,Single-Family,Level 2 (7.2kW),2025-06-30 22:13:00,7.58,37.72,0.0,Fall,13.9
EV-10376,USR-1230,Single-Family,Level 2 (7.2kW),2025-03-03 11:12:00,2.94,15.25,0.0,Spring,65.2
EV-10377,USR-1125,Townhouse,Level 1 (1.4kW),2025-06-02 10:05:00,19.87,21.12,0.42,Winter,51.8
EV-10378,USR-1094,Single-Family,Level 2 (7.2kW),2025-04-13 16:48:00,5.6,26.72,0.74,Spring,39.0
EV-10379,USR-1196,Single-Family,Level 1 (1.4kW),2025-08-15 20:57:00,20.01,26.5,0.02,Fall,39.5
EV-10380,USR-1157,Single-Family,Level 2 (7.2kW),2025-06-06 20:43:00,7.61,36.49,0.06,Spring,16.7
EV-10381,USR-1015,Condo/Apartment,Level 2 (7.2kW),2025-03-09 17:28:00,3.66,20.81,1.0,Fall,52.5
EV-10382,USR-1007,Single-Family,Level 1 (1.4kW),2025-01-01 16:04:00,22.11,15.68,0.42,Fall,64.2
EV-10383,USR-1294,Townhouse,Level 2 (7.2kW),2025-01-25 10:58:00,6.37,26.42,0.19,Summer,39.7
EV-10384,USR-1016,Single-Family,Level 2 (7.2kW),2025-04-21 20:12:00,6.0,14.94,0.17,Winter,65.9
EV-10385,USR-1232,Condo/Apartment,Level 2 (7.2kW),2025-11-29 10:18:00,2.03,12.84,0.0,Winter,70.7
EV-10386,USR-1075,Townhouse,Level 2 (7.2kW),2025-03-01 17:27:00,3.54,25.06,1.0,Winter,42.8
EV-10387,USR-1038,Single-Family,Level 2 (7.2kW),2025-12-06 10:47:00,8.93,35.13,0.42,Winter,19.8
EV-10388,USR-1384,Condo/Apartment,Level 1 (1.4kW),2025-07-23 16:44:00,25.27,34.96,0.38,Spring,20.2
EV-10389,USR-1154,Townhouse,Level 2 (7.2kW),2025-07-05 10:28:00,2.64,14.28,0.0,Winter,67.4
EV-10390,USR-1373,Condo/Apartment,Level 2 (7.2kW),2025-10-30 19:15:00,6.64,18.14,0.26,Spring,58.6
EV-10391,USR-1262,Condo/Apartment,Level 2 (7.2kW),2025-09-08 07:10:00,2.63,13.76,0.0,Winter,68.6
EV-10392,USR-1076,Single-Family,Level 2 (7.2kW),2025-09-20 17:02:00,3.25,15.29,1.0,Fall,65.1
EV-10393,USR-1361,Townhouse,Level 1 (1.4kW),2025-11-07 22:40:00,25.52,34.56,0.0,Summer,21.1
EV-10394,USR-1186,Townhouse,Level 1 (1.4kW),2025-06-28 23:31:00,26.31,36.54,0.0,Summer,16.6
EV-10395,USR-1348,Single-Family,Level 2 (7.2kW),2025-02-19 16:49:00,9.16,26.81,0.46,Spring,38.8
EV-10396,USR-1101,Single-Family,Level 1 (1.4kW),2025-12-11 17:36:00,19.45,24.84,0.29,Fall,43.3
EV-10397,USR-1372,Townhouse,Level 2 (7.2kW),2025-01-13 17:55:00,2.82,19.58,1.0,Fall,55.3
EV-10398,USR-1360,Condo/Apartment,Level 2 (7.2kW),2025-08-07 23:51:00,5.91,16.73,0.0,Spring,61.8
EV-10399,USR-1029,Single-Family,Level 1 (1.4kW),2025-01-26 20:17:00,26.32,34.78,0.06,Summer,20.6
EV-10400,USR-1006,Single-Family,Level 2 (7.2kW),2025-01-23 22:57:00,6.6,34.17,0.0,Summer,22.0
EV-10401,USR-1353,Townhouse,Level 1 (1.4kW),2025-06-03 14:24:00,21.81,28.3,0.42,Fall,35.4
EV-10402,USR-1195,Condo/Apartment,Level 2 (7.2kW),2025-09-26 12:25:00,10.14,18.14,0.49,Summer,58.6
EV-10403,USR-1038,Single-Family,Level 2 (7.2kW),2025-03-17 16:55:00,3.72,25.32,1.0,Winter,42.2
EV-10404,USR-1200,Single-Family,Level 1 (1.4kW),2025-09-21 18:38:00,16.54,15.2,0.21,Fall,65.3
EV-10405,USR-1192,Single-Family,Level 2 (7.2kW),2025-09-15 17:00:00,3.3,21.12,1.0,Winter,51.8
EV-10406,USR-1170,Single-Family,Level 2 (7.2kW),2025-12-26 20:25:00,3.26,15.25,0.23,Winter,65.2
EV-10407,USR-1236,Townhouse,Level 1 (1.4kW),2025-08-16 22:11:00,27.14,35.88,0.0,Fall,18.1
EV-10408,USR-1117,Townhouse,Level 1 (1.4kW),2025-10-18 09:25:00,31.71,36.49,0.42,Winter,16.7
EV-10409,USR-1005,Townhouse,Level 2 (7.2kW),2025-09-17 00:03:00,4.0,23.96,0.0,Fall,45.3
EV-10410,USR-1363,Single-Family,Level 2 (7.2kW),2025-03-06 18:12:00,5.69,36.71,0.52,Fall,16.2
EV-10411,USR-1145,Townhouse,Level 2 (7.2kW),2025-07-27 22:01:00,6.89,22.12,0.0,Winter,49.5
EV-10412,USR-1147,Single-Family,Level 2 (7.2kW),2025-02-02 18:45:00,4.13,22.21,0.53,Summer,49.3
EV-10413,USR-1122,Single-Family,Level 2 (7.2kW),2025-08-16 19:51:00,17.05,39.08,0.1,Summer,10.8
EV-10414,USR-1065,Single-Family,Level 2 (7.2kW),2025-11-30 00:16:00,3.81,26.07,0.0,Fall,40.5
EV-10415,USR-1342,Condo/Apartment,Level 2 (7.2kW),2025-01-17 08:34:00,6.93,35.88,0.0,Fall,18.1
EV-10416,USR-1323,Single-Family,Level 2 (7.2kW),2025-09-02 17:36:00,4.0,24.8,0.88,Fall,43.4
EV-10417,USR-1015,Condo/Apartment,Level 2 (7.2kW),2025-03-02 22:27:00,6.75,34.52,0.0,Summer,21.2
EV-10418,USR-1232,Single-Family,Level 1 (1.4kW),2025-02-13 14:05:00,21.17,28.78,0.42,Winter,34.3
EV-10419,USR-1144,Single-Family,Level 2 (7.2kW),2025-05-05 10:29:00,4.06,27.2,0.0,Fall,37.9
EV-10420,USR-1009,Single-Family,Level 1 (1.4kW),2025-09-14 14:52:00,20.41,28.39,0.42,Fall,35.2
EV-10421,USR-1010,Townhouse,Level 2 (7.2kW),2025-12-04 17:16:00,4.44,30.93,0.83,Summer,29.4
EV-10422,USR-1308,Single-Family,Level 1 (1.4kW),2025-05-08 23:01:00,26.46,30.97,0.0,Spring,29.3
EV-10423,USR-1355,Townhouse,Level 2 (7.2kW),2025-09-14 14:52:00,6.99,28.91,0.71,Spring,34.0
EV-10424,USR-1079,Single-Family,Level 2 (7.2kW),2025-01-10 12:01:00,5.5,19.19,0.27,Winter,56.2
EV-10425,USR-1117,Single-Family,Level 2 (7.2kW),2025-03-20 16:24:00,6.09,25.89,0.76,Winter,40.9
EV-10426,USR-1359,Condo/Apartment,Level 1 (1.4kW),2025-09-10 18:28:00,13.76,17.57,0.23,Summer,59.9
EV-10427,USR-1300,Single-Family,Level 2 (7.2kW),2025-08-22 22:27:00,2.6,12.57,0.0,Winter,71.3
EV-10428,USR-1069,Single-Family,Level 2 (7.2kW),2025-08-16 23:22:00,3.05,17.96,0.0,Spring,59.0
EV-10429,USR-1349,Single-Family,Level 2 (7.2kW),2025-05-13 00:05:00,7.42,18.75,0.0,Winter,57.2
EV-10430,USR-1393,Single-Family,Level 2 (7.2kW),2025-03-08 23:17:00,7.29,25.06,0.0,Fall,42.8
EV-10431,USR-1390,Single-Family,Level 2 (7.2kW),2025-10-01 13:14:00,6.15,34.08,0.52,Fall,22.2
EV-10432,USR-1051,Single-Family,Level 1 (1.4kW),2025-07-04 23:37:00,32.57,36.67,0.0,Winter,16.3
EV-10433,USR-1366,Single-Family,Level 2 (7.2kW),2025-03-31 22:57:00,4.57,22.04,0.0,Summer,49.7
EV-10434,USR-1399,Townhouse,Level 2 (7.2kW),2025-02-15 18:37:00,4.3,15.64,0.56,Fall,64.3
EV-10435,USR-1381,Single-Family,Level 2 (7.2kW),2025-10-20 22:51:00,4.77,20.63,0.0,Winter,52.9
